,Zip_code,predicted_aug_value,actual_aug_value,difference,count_groceries,crime_score,business_score,school_score,population,# of schools,# stores,total store sqft,# crimes,# violent crimes
39,60644,314589.764504079,158805.9422,-155783.82230407902,1.14263269211401,0.0234464699365495,0.18934434484842397,2.2666666666666697,49645,15.0,6,56726,432.0,222.0
40,60645,395312.05958464,355284.0928,-40027.9667846397,1.58044599096136,0.222125564914812,0.44344486643610403,3.6666666666666696,47131,6.0,4,74488,3509.0,2124.0
41,60646,435287.126112959,406631.2073,-28655.918812959,1.8152546077074398,0.160158811102207,0.994390617032127,4.0,27454,4.0,5,49836,1592.0,1122.0
42,60647,422136.13994682604,539363.0636,117226.923653174,2.4020097675151404,0.0135484887358495,1.3030855445277199,2.64285714285714,88866,14.0,15,213457,453.0,219.0
43,60649,334552.488775263,152823.6724,-181728.816375263,1.45114777301075,0.30812950594895805,0.506435490291477,2.4,45218,10.0,6,65618,4493.0,2572.0
44,60651,308614.661434935,199260.5497,-109354.111734935,0.7305979695267092,0.19394744085882198,0.17649249502096898,2.8,61759,15.0,7,45121,3976.0,2311.0
45,60652,406390.70549003204,184676.4797,-221714.22579003198,2.40353474599796,0.17069954659017303,0.793467197187008,2.6363636363636402,43228,11.0,2,103900,2492.0,1646.0
46,60653,334440.636831187,345273.5543,10832.917468813,1.4978257368336299,0.202770172330488,0.708648735706233,2.15384615384615,31045,13.0,3,46500,2117.0,1247.0
47,60654,294296.499125213,957056.6364,662760.137274786,0.0,0.35162742382271506,7.17913204062789,0.0,17328,0.0,0,0,2155.0,1525.0
48,60655,375808.43425929797,246231.6881,-129576.74615929801,1.50868097839324,0.14070491632163099,0.497547058209526,3.2,28741,5.0,3,43361,1386.0,940.0
49,60656,371679.98617969203,313401.4047,-58278.5814796925,1.68649287402421,0.0901310606603166,0.6517224092243791,2.75,27926,4.0,2,47097,819.0,454.0
50,60657,383695.158482539,883022.5385,499327.380017461,0.9589900862991229,0.054860566293417,1.58476570857999,3.5,70105,6.0,5,67230,1379.0,710.0
51,60659,409604.906241981,370432.701,-39172.2052419814,1.7122964482626,0.08834465957174001,1.33863315809719,3.28571428571429,38995,7.0,14,66771,1191.0,718.0
52,60660,378347.172057428,477730.4138,99383.2417425724,1.41916124367317,0.0353820197637985,0.6941431670281999,3.2,41490,5.0,7,58881,503.0,316.0
53,60661,459327.091047438,411946.3333,-47380.757747437696,4.81269399550466,2.32901637589639,5.52285133254843,0.0,9343,0.0,3,44965,7194.0,3343.0
54,60706,158418.015765716,276852.0,118433.984234284,0.0,0.0,0.13557024233180803,0.0,23604,0.0,0,0,0.0,0.0
55,60707,283969.28241507104,274370.7606,-9598.52181507075,0.34933603369312605,0.10934155715633699,0.455685714943269,2.5,43451,2.0,2,15179,1688.0,1162.0
56,60712,159881.683982046,308127.6667,148245.982717954,0.0,0.0,0.205745034422727,0.0,12637,0.0,0,0,0.0,0.0
57,60803,158339.349115145,118604.0,-39735.3491151446,0.0,0.0,0.13179861172129,0.0,22762,0.0,0,0,0.0,0.0
58,60804,156906.809771984,164400.0,7493.19022801558,0.0,0.0,0.0631162768541895,0.0,83972,0.0,0,0,0.0,0.0
59,60805,156746.251768266,154171.5714,-2574.68036826621,0.0,0.0,0.0554184089878583,0.0,19849,0.0,0,0,0.0,0.0
60,60827,242090.10816773897,41745.52381,-200344.584357739,0.34648697339246104,0.232677383592018,0.0277161862527716,1.8,28864,5.0,1,10001,2333.0,1697.0
